"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"2953","Lenzkirch-Ruhbühl","8,2308","47,8597","854.0","https://cdc.dwd.de/rest/metadata/station/html/812300655719"
"4978","Tann/Rhön","10,0228","50,6390","395.0","https://cdc.dwd.de/rest/metadata/station/html/812300421799"
"13696","Waltrop-Abdinghof","7,4048","51,5966","60.0","https://cdc.dwd.de/rest/metadata/station/html/812300999463"
"91","Alsfeld-Eifa","9,3450","50,7446","304.0","https://cdc.dwd.de/rest/metadata/station/html/812300767399"
"6273","Demker","11,8551","52,5075","36.0","https://cdc.dwd.de/rest/metadata/station/html/812300176615"
"2856","Langenlipsdorf","13,0878","51,9173","92.0","https://cdc.dwd.de/rest/metadata/station/html/812300144807"
"4024","Putbus","13,4771","54,3643","40.0","https://cdc.dwd.de/rest/metadata/station/html/812300370023"
"2444","Jena (Sternwarte)","11,5830","50,9251","155.0","https://cdc.dwd.de/rest/metadata/station/html/812300744295"
"4300","Rottweil","8,6356","48,1815","588.0","https://cdc.dwd.de/rest/metadata/station/html/812300363751"
"7369","Feuchtwangen-Heilbronn","10,3661","49,1623","475.0","https://cdc.dwd.de/rest/metadata/station/html/812300196583"
"7395","Gottfrieding","12,5388","48,6595","350.0","https://cdc.dwd.de/rest/metadata/station/html/812300315111"
"1550","Garmisch-Partenkirchen","11,0621","47,4830","719.0","https://cdc.dwd.de/rest/metadata/station/html/812300141671"
"4763","Sontra","9,9266","51,0607","265.0","https://cdc.dwd.de/rest/metadata/station/html/812300715623"
"5404","Weihenstephan-Dürnast","11,6946","48,4024","477.0","https://cdc.dwd.de/rest/metadata/station/html/812300897767"
"596","Boltenhagen","11,1908","54,0027","15.0","https://cdc.dwd.de/rest/metadata/station/html/812300014439"
"4466","Schleswig","9,5487","54,5275","43.0","https://cdc.dwd.de/rest/metadata/station/html/812300849127"
"6217","Saarbrücken-Burbach","6,9351","49,2406","190.0","https://cdc.dwd.de/rest/metadata/station/html/812300236519"
"78","Alfhausen","7,9125","52,4853","64.0","https://cdc.dwd.de/rest/metadata/station/html/812300268327"
"5347","Warburg","9,1118","51,5039","236.0","https://cdc.dwd.de/rest/metadata/station/html/812300937703"
"3376","Müncheberg","14,1232","52,5176","64.0","https://cdc.dwd.de/rest/metadata/station/html/812300675687"
"191","Arnstein-Müdesheim","9,9114","49,9694","217.0","https://cdc.dwd.de/rest/metadata/station/html/812300842855"
"2812","Lahr","7,8280","48,3647","156.0","https://cdc.dwd.de/rest/metadata/station/html/812300946407"
"5014","Worpswede-Hüttenbusch","8,9857","53,2758","7.0","https://cdc.dwd.de/rest/metadata/station/html/812300865959"
"198","Artern","11,2920","51,3744","164.0","https://cdc.dwd.de/rest/metadata/station/html/812300213415"
"13675","Hameln-Hastenbeck","9,4077","52,0818","75.0","https://cdc.dwd.de/rest/metadata/station/html/812300046247"
"5688","Dachsberg-Wolpadingen","8,1057","47,7004","881.0","https://cdc.dwd.de/rest/metadata/station/html/812301011155"
"5111","Trostberg","12,5396","48,0311","560.0","https://cdc.dwd.de/rest/metadata/station/html/812300779239"
"6275","Notzingen","9,4627","48,6705","327.0","https://cdc.dwd.de/rest/metadata/station/html/812300074919"
"1759","Greifswalder Oie","13,9104","54,2437","11.0","https://cdc.dwd.de/rest/metadata/station/html/812300132967"
"4508","Schneifelforsthaus","6,4194","50,2968","653.0","https://cdc.dwd.de/rest/metadata/station/html/812300109863"
"142","Altomünster-Maisbrunn","11,3117","48,4060","511.0","https://cdc.dwd.de/rest/metadata/station/html/812300724327"
"1411","Birx/Rhön","10,0479","50,5309","747.0","https://cdc.dwd.de/rest/metadata/station/html/812300331943"
"2638","Klippeneck","8,7548","48,1054","973.0","https://cdc.dwd.de/rest/metadata/station/html/812300534055"
"3015","Lindenberg","14,1180","52,2085","98.0","https://cdc.dwd.de/rest/metadata/station/html/812300557159"
"555","Bochum","7,2289","51,5026","110.0","https://cdc.dwd.de/rest/metadata/station/html/812300164775"
"1766","Münster/Osnabrück","7,6969","52,1344","48.0","https://cdc.dwd.de/rest/metadata/station/html/812300814183"
"342","Belm","8,1694","52,3170","103.0","https://cdc.dwd.de/rest/metadata/station/html/812300386855"
"3366","Mühldorf","12,5024","48,2790","406.0","https://cdc.dwd.de/rest/metadata/station/html/812300502247"
"4275","Rotenburg (Wümme)","9,3398","53,1289","32.0","https://cdc.dwd.de/rest/metadata/station/html/812300335079"
"7350","Prackenbach-Neuhäusl","12,8231","49,1088","585.0","https://cdc.dwd.de/rest/metadata/station/html/812300490407"
"2641","Klitzschen bei Torgau","12,9065","51,5185","90.0","https://cdc.dwd.de/rest/metadata/station/html/812300479847"
"13777","Helmstedt-Emmerstedt","10,9592","52,2467","109.0","https://cdc.dwd.de/rest/metadata/station/html/812300752423"
